契約項目編號,契約項目名稱,單價
Y6N10JM359A0,光纖跳接線，PATCH CORD 二芯 LC/ST 接頭 62.5/125um 3.0mm 19M/PC,659.1
Y6N10JM360A0,光纖跳接線，PATCH CORD 二芯 LC/ST 接頭 62.5/125um 3.0mm 20M/PC,682.33
Y6N10JN001A0,外迫式電纜固定頭 M-16,31.41
Y6N10JN002A0,外迫式電纜固定頭 M-20,32.62
Y6N10JN003A0,外迫式電纜固定頭 M-25,39.49
Y6N10JN004A0,外迫式電纜固定頭 M-32,69.61
Y6N10JN005A0,外迫式電纜固定頭 M-40,104.53
Y6N10JN006A0,外迫式電纜固定頭 M-50,139.37
Y6N10JN007A0,外迫式電纜固定頭 M-63,209.05
Y6N10JN008A0,極限開關電纜固定頭,48.96
Y6N10JN009A0,CABLE TIE CV-450 KSS,522.63
Y6N10JN010A0,CABLE TIE CV-380 KSS,365.58
Y6N10JN011A0,CABLE TIE CV-300 KSS,217.13
Y6N10JN012A0,CABLE TIE CV-250 KSS,146.43
Y6N10JN013A0,CABLE TIE CV-200 KSS,114.12
Y6N10JN014A0,"不銹鋼鋼索SUS WIRE ROPE 1/4""",65.64
Y6N10JN015A0,"不銹鋼鋼索夾SUS WIRE ROPE CLIP 1/4""",48.48
Y6N10JN016A0,"鋼索夾WIRE ROPE CLIP 1/4""",22.22
Y6N10JN017A0,"鋼索夾WIRE ROPE CLIP 3/8""",35.35
Y6N10JN018A0,"膨脹螺絲1/4""*2""",5.99
Y6N10JN019A0,"不銹鋼膨脹螺絲SUS304 1/4""x2""",9.29
Y6N10JN020A0,"不銹鋼膨脹螺絲SUS304 3/8""x3""",23.74
Y6N10JN021A0,"不銹鋼膨脹螺絲SUS304 1/2""x4""",37.57
Y6N10JN022A0,"不銹鋼膨脹螺絲SUS304 5/8""x4""",52.81
Y6N10JN024A0,PVC密封式絕緣配線槽 W25×H25MM 2M/PC (乳白色),91.66
Y6N10JN025A0,PVC密封式絕緣配線槽 W50×H50MM 2M/PC (乳白色),178.31
Y6N10JN026A0,PVC 配線壓條全冠-TD-4-M 1M/PC (乳白色),38.17
Y6N10JN027A0,PVC 地板配線壓條全冠-RTD-40M 1M/PC (圓弧乳白),95.16
Y6N10JN028A0,PVC 地板配線壓條全冠-RTD-50M 1M/PC (圓弧乳白),106.82
Y6N10JN029A0,PVC 地板配線壓條全冠-RTD-60M 1M/PC (圓弧乳白),116.14
Y6N10JN030A0,埋入式配電盤(上安SPL-0810),1639.16
Y6N10JN031A0,埋入式配電盤(上安SPL-1010),1713.15
Y6N10JN032A0,埋入式配電盤(上安SPL-1410),1815.91
Y6N10JN033A0,埋入式配電盤(上安SPL-1810),2276.44
Y6N10JN034A0,埋入式配電盤(上安SPL-2210),2703.72
Y6N10JN035A0,埋入式配電盤(上安SPL-2610),3356.33
Y6N10JN036A0,埋入式配電盤(上安SPL-3410),4256.23
Y6N10JN037A0,"白鐵壁虎3/8""*4""L (外牙)",34.54
Y6N10JN039A0,防雨型高分貝閃光警報器(TYPE:TY-6079),238.65
Y6N10JN040A0,PP編織袋(太空包) 90cm×90cm×140cm,302.97
Y6N10JN044A0,氟碳樹脂面漆(#25),5254.49
Y6N10JN045A0,氟碳樹脂面漆調薄劑,434.26
Y6N10JN047A0,EPOXY柏油漆,449.4
Y6N10JN051A0,EPOXY高固型份漆,1232.07
Y6N10JN052A0,EPOXY合金鋼底漆,656.43
Y6N10JN053A0,EPOXY透明水泥底漆,590.79
Y6N10JN055A0,聚氨基甲酸樹脂面漆,1221.97
Y6N10JN056A0,聚氨基甲酸樹脂面漆調薄劑,358.51
Y6N10JN057A0,無機鋅粉底漆,1827.91
Y6N10JN058A0,無機鋅粉調薄劑,368.61
Y6N10JN059A0,有機鋅粉底漆,1859.81
Y6N10JN060A0,單液型濕氣硬化型鋅粉漆,2566.41
Y6N10JN061A0,300℃耐熱底漆,919.01
Y6N10JN062A0,300℃耐熱面漆(銀、灰色),1041.29
Y6N10JN063A0,300℃耐熱面漆(紅、白色),1654.75
Y6N10JN064A0,600℃耐熱底漆,1231.87
Y6N10JN065A0,600℃耐熱面漆(銀、灰色),1339.53
Y6N10JN066A0,耐熱漆調薄劑,431.49
Y6N10JN067A0,路線漆,412.57
Y6N10JN068A0,路線漆專用調薄劑,447.42
Y6N10JN069A0,平光型水性水泥漆,583.94
Y6N10JN070A0,油性水泥漆,744.12
Y6N10JN071A0,乳膠漆,1296.2
Y6N10JN072A0,螢光漆,1934.8
Y6N10JN073A0,二甲苯,311.05
Y6N10JN074A0,裝腳礙子15KV(含螺桿),287.82
Y6N10JN075A0,發泡劑,187.84
Y6N10JN076A0,定時器 國際牌 TB389NT7(停電補償) AC110V/220V 附鐵殼,1742.07
Y6N10JN077A0,定時器 FRONTIER金嶧 TM6331AB ，壁掛式，AB接點，配線式，(接點輸出式)，AC110V/220V,1451.73
Y6N10JN079A0,其他委託乙方購置材料,1
Y6N10JN080A0,"不鏽鋼 CABLE TIE, 4.6x200mm,100PCS/PG (BSTC-201或同級品)",1242.17
Y6N10JN081A0,"不鏽鋼 CABLE TIE, 4.6x260mm,100PCS/PG (BSTC-266或同級品)",1434.05
Y6N10JN082A0,"不鏽鋼 CABLE TIE, 4.6x300mm,100PCS/PG (BSTC-300或同級品)",1636.03
Y6N10JN083A0,"不鏽鋼 CABLE TIE, 4.6x360mm,100PCS/PG (BSTC-362或同級品)",2029.89
Y6N10JN084A0,"不鏽鋼 CABLE TIE, 4.6x520mm,100PCS/PG (BSTC-521或同級品)",2959
Y6N10JN085A0,外迫式電纜固定頭 MG75A,754.9
Y6N10JN086A0,"外迫式電纜固定頭 FGA88-77B 3""",1262.37
Y6N10JN087A0,"不銹鋼鋼索SUS WIRE ROPE 3/8""",383.76
Y6N10JN088A0,鍍鋅鍛鋼鬆緊螺旋扣,65.64
Y6N10JN089A0,高壓電纜固定夾,129.99
Y6N10JN090A0,熔接火泥 #150,229.98
Y6N10JN091A0,電木板 1.2 M x 1 M x 4 mm,2231.44
Y6N10JN093A0,鐵氟龍束帶 長370mm*7.6mm,9565.69
Y6N10JN094A0,鐵氟龍束帶 長370mm*4.8mm,8499.13
Y6N10JN095A0,鐵氟龍束帶 長300mm*4.8mm,8089.17
Y6N10JN096A0,鐵氟龍束帶 長250mm*4.8mm,6066.05
Y6N10JN097A0,鐵氟龍束帶 長200mm*3.4mm,4566.2
Y6N10L0001A0,"防爆照明燈, 40W及以下",327.29
Y6N10L0001B0,"防爆照明燈, 40W及以下",163.64
Y6N10L0001C0,"防爆照明燈, 40W及以下",360.01
Y6N10L0001D0,"防爆照明燈, 40W及以下",180.01
Y6N10L0001E0,"防爆照明燈, 40W及以下",392.75
Y6N10L0001F0,"防爆照明燈, 40W及以下",196.37
Y6N10L0001G0,"防爆照明燈, 40W及以下",425.48
Y6N10L0001H0,"防爆照明燈, 40W及以下",212.74
Y6N10L0002A0,"防爆照明燈, 41W~80W",736.39
Y6N10L0002B0,"防爆照明燈, 41W~80W",368.2
Y6N10L0002C0,"防爆照明燈, 41W~80W",810.04
Y6N10L0002D0,"防爆照明燈, 41W~80W",405.02
Y6N10L0002E0,"防爆照明燈, 41W~80W",883.68
Y6N10L0002F0,"防爆照明燈, 41W~80W",441.83
Y6N10L0002G0,"防爆照明燈, 41W~80W",957.32
Y6N10L0002H0,"防爆照明燈, 41W~80W",478.66
Y6N10L0003A0,"防爆照明燈, 81W~120W",818.22
Y6N10L0003B0,"防爆照明燈, 81W~120W",409.11
Y6N10L0003C0,"防爆照明燈, 81W~120W",900.04
Y6N10L0003D0,"防爆照明燈, 81W~120W",450.02
Y6N10L0003E0,"防爆照明燈, 81W~120W",981.86
Y6N10L0003F0,"防爆照明燈, 81W~120W",490.93
Y6N10L0003G0,"防爆照明燈, 81W~120W",1063.69
Y6N10L0003H0,"防爆照明燈, 81W~120W",531.85
Y6N10L0004A0,"防爆照明燈,121W~160W",900.04
Y6N10L0004B0,"防爆照明燈,121W~160W",450.02
Y6N10L0004C0,"防爆照明燈,121W~160W",990.05
Y6N10L0004D0,"防爆照明燈,121W~160W",495.02
Y6N10L0004E0,"防爆照明燈,121W~160W",1080.05
Y6N10L0004F0,"防爆照明燈,121W~160W",540.02
Y6N10L0004G0,"防爆照明燈,121W~160W",1170.05
Y6N10L0004H0,"防爆照明燈,121W~160W",585.03
Y6N10L0005A0,"防爆照明燈,161W~200W",981.86
Y6N10L0005B0,"防爆照明燈,161W~200W",490.93
Y6N10L0005C0,"防爆照明燈,161W~200W",1080.05
Y6N10L0005D0,"防爆照明燈,161W~200W",540.02
Y6N10L0005E0,"防爆照明燈,161W~200W",1178.24
Y6N10L0005F0,"防爆照明燈,161W~200W",589.12
Y6N10L0005G0,"防爆照明燈,161W~200W",1276.42
Y6N10L0005H0,"防爆照明燈,161W~200W",638.21
Y6N10L0006A0,"防爆照明燈,201W及以上",1145.51
Y6N10L0006B0,"防爆照明燈,201W及以上",572.75
Y6N10L0006C0,"防爆照明燈,201W及以上",1260.06
Y6N10L0006D0,"防爆照明燈,201W及以上",630.03
Y6N10L0006E0,"防爆照明燈,201W及以上",1374.61
Y6N10L0006F0,"防爆照明燈,201W及以上",687.31
Y6N10L0006G0,"防爆照明燈,201W及以上",1489.16
Y6N10L0006H0,"防爆照明燈,201W及以上",744.58
Y6N10L0007A0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,490.93
Y6N10L0007B0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,245.46
Y6N10L0007C0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,540.02
Y6N10L0007D0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,270.01
Y6N10L0007E0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,589.12
Y6N10L0007F0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,294.56
Y6N10L0007G0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,638.21
Y6N10L0007H0,T5日光燈(嵌入式、吸頂式及吊燈) 28W及以下、LED 燈管 14W及以下,319.11
Y6N10L0008A0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,531.85
Y6N10L0008B0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,265.92
Y6N10L0008C0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,585.03
Y6N10L0008D0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,292.51
Y6N10L0008E0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,638.21
Y6N10L0008F0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,319.11
Y6N10L0008G0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,691.4
Y6N10L0008H0,T5日光燈(嵌入式、吸頂式及吊燈) 29~56W、LED 燈管 15~28W,345.69
Y6N10L0009A0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,593.21
Y6N10L0009B0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,296.61
Y6N10L0009C0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,652.53
Y6N10L0009D0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,326.27
Y6N10L0009E0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,711.85
Y6N10L0009F0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,355.92
Y6N10L0009G0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,771.17
Y6N10L0009H0,T5日光燈(嵌入式、吸頂式及吊燈) 57~84W、LED 燈管 29~42W,385.59
Y6N10L0010A0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,654.57
Y6N10L0010B0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,327.29
Y6N10L0010C0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,720.04
Y6N10L0010D0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,360.01
Y6N10L0010E0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,785.49
Y6N10L0010F0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,392.75
Y6N10L0010G0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,850.95
Y6N10L0010H0,T5日光燈(嵌入式、吸頂式及吊燈) 85~112W、LED 燈管 43~56W,425.48
Y6N10L0011A0,高空照明燈 (含POWER SUPPLY或安定器),852.31
Y6N10L0011B0,高空照明燈 (含POWER SUPPLY或安定器),426.16
Y6N10L0011C0,高空照明燈 (含POWER SUPPLY或安定器),937.54
Y6N10L0011D0,高空照明燈 (含POWER SUPPLY或安定器),468.77
Y6N10L0011E0,高空照明燈 (含POWER SUPPLY或安定器),1022.77
Y6N10L0011F0,高空照明燈 (含POWER SUPPLY或安定器),511.39
Y6N10L0011G0,高空照明燈 (含POWER SUPPLY或安定器),1108.01
Y6N10L0011H0,高空照明燈 (含POWER SUPPLY或安定器),554
Y6N10L0012A0,高空照明燈 (不含POWER SUPPLY或安定器),724.47
Y6N10L0012B0,高空照明燈 (不含POWER SUPPLY或安定器),362.23
Y6N10L0012C0,高空照明燈 (不含POWER SUPPLY或安定器),796.91
Y6N10L0012D0,高空照明燈 (不含POWER SUPPLY或安定器),398.46
Y6N10L0012E0,高空照明燈 (不含POWER SUPPLY或安定器),869.36
Y6N10L0012F0,高空照明燈 (不含POWER SUPPLY或安定器),434.68
Y6N10L0012G0,高空照明燈 (不含POWER SUPPLY或安定器),941.8
Y6N10L0012H0,高空照明燈 (不含POWER SUPPLY或安定器),470.9
Y6N10L0013A0,投光燈及屋外燈 (含POWER SUPPLY或安定器),1363.7
Y6N10L0013B0,投光燈及屋外燈 (含POWER SUPPLY或安定器),681.85
Y6N10L0013C0,投光燈及屋外燈 (含POWER SUPPLY或安定器),1500.07
Y6N10L0013D0,投光燈及屋外燈 (含POWER SUPPLY或安定器),750.03
Y6N10L0013E0,投光燈及屋外燈 (含POWER SUPPLY或安定器),1636.44
Y6N10L0013F0,投光燈及屋外燈 (含POWER SUPPLY或安定器),818.22
Y6N10L0013G0,投光燈及屋外燈 (含POWER SUPPLY或安定器),1772.81
Y6N10L0013H0,投光燈及屋外燈 (含POWER SUPPLY或安定器),886.41
Y6N10L0014A0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),1159.14
Y6N10L0014B0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),579.57
Y6N10L0014C0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),1275.06
Y6N10L0014D0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),637.53
Y6N10L0014E0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),1390.98
Y6N10L0014F0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),695.49
Y6N10L0014G0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),1506.89
Y6N10L0014H0,投光燈及屋外燈 (不含POWER SUPPLY或安定器),753.44
Y6N10L0015A0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,451.04
Y6N10L0015B0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,225.53
Y6N10L0015C0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,496.15
Y6N10L0015D0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,248.07
Y6N10L0015E0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,541.25
Y6N10L0015F0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,270.62
Y6N10L0015G0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,586.36
Y6N10L0015H0,高空照明燈、投光燈及屋外燈之POWER SUPPLY或安定器安裝(含接線)，僅適用於分離式,293.18
Y6N10L0016A0,高空燈插頭或插座 (含接線),300.7
Y6N10L0016B0,高空燈插頭或插座 (含接線),150.34
Y6N10L0016C0,高空燈插頭或插座 (含接線),330.77
Y6N10L0016D0,高空燈插頭或插座 (含接線),165.38
Y6N10L0016E0,高空燈插頭或插座 (含接線),360.83
Y6N10L0016F0,高空燈插頭或插座 (含接線),180.42
Y6N10L0016G0,高空燈插頭或插座 (含接線),390.9
Y6N10L0016H0,高空燈插頭或插座 (含接線),195.45
Y6N10L0017A0,日光燈管、一般燈泡或安定器,55.23
Y6N10L0017B0,日光燈管、一般燈泡或安定器,27.62
Y6N10L0017C0,日光燈管、一般燈泡或安定器,60.75
Y6N10L0017D0,日光燈管、一般燈泡或安定器,30.38
Y6N10L0017E0,日光燈管、一般燈泡或安定器,66.27
Y6N10L0017F0,日光燈管、一般燈泡或安定器,33.14
Y6N10L0017G0,日光燈管、一般燈泡或安定器,71.8
Y6N10L0017H0,日光燈管、一般燈泡或安定器,35.9
Y6N10L1001A0,"高空燈,屋外照明燈燈泡更換",389
Y6N10L1001C0,"高空燈,屋外照明燈燈泡更換",427.9
Y6N10L1001E0,"高空燈,屋外照明燈燈泡更換",466.79
Y6N10L1001G0,"高空燈,屋外照明燈燈泡更換",505.7
Y6N10L2001A0,燈泡型燈具(白織燈、鹵素燈、小型投光燈、筒燈),234.56
Y6N10L2001B0,燈泡型燈具(白織燈、鹵素燈、小型投光燈、筒燈),117.28
Y6N10L2002A0,路燈,2727.4
Y6N10L2002B0,路燈,1363.7
Y6N10L2003A0,鐵柱燈柱長4米及以下(吊車另計),876.18
Y6N10L2003B0,鐵柱燈柱長4米及以下(吊車另計),438.08
Y6N10L2004A0,鐵柱燈柱長4.1米及以上 (吊車另計),1315.62
Y6N10L2004B0,鐵柱燈柱長4.1米及以上 (吊車另計),657.81
Y6N10L2005A0,水泥電桿長10.5M及以下(吊車另計),2385.79
Y6N10L2005B0,水泥電桿長10.5M及以下(吊車另計),1192.9
Y6N10L2006A0,水泥電桿長10.6~14M(吊車另計),2899.22
Y6N10L2006B0,水泥電桿長10.6~14M(吊車另計),1449.61
Y6N10L2007A0,水泥電桿長14.1~18M(吊車另計),3240.15
Y6N10L2007B0,水泥電桿長14.1~18M(吊車另計),1620.07
Y6N10L3001A0,"投光燈,高空燈,屋外照明燈燈具整理",457.52
Y6N10M0001A0,一般MTR 2HP及以下,374.68
Y6N10M0001B0,一般MTR 2HP及以下,187.34
Y6N10M0001C0,一般MTR 2HP及以下,412.15
Y6N10M0001D0,一般MTR 2HP及以下,206.07
Y6N10M0001E0,一般MTR 2HP及以下,449.61
Y6N10M0001F0,一般MTR 2HP及以下,224.81
Y6N10M0001G0,一般MTR 2HP及以下,487.08
Y6N10M0001H0,一般MTR 2HP及以下,243.53
Y6N10M0002A0,一般MTR 2.1 ~ 10 HP,838.67
Y6N10M0002B0,一般MTR 2.1 ~ 10 HP,419.34
Y6N10M0002C0,一般MTR 2.1 ~ 10 HP,922.55
Y6N10M0002D0,一般MTR 2.1 ~ 10 HP,461.27
Y6N10M0002E0,一般MTR 2.1 ~ 10 HP,1006.41
Y6N10M0002F0,一般MTR 2.1 ~ 10 HP,503.21
Y6N10M0002G0,一般MTR 2.1 ~ 10 HP,1090.28
Y6N10M0002H0,一般MTR 2.1 ~ 10 HP,545.14
Y6N10M0003A0,一般MTR 10.1~ 30 HP,1313.25
Y6N10M0003B0,一般MTR 10.1~ 30 HP,656.62
Y6N10M0003C0,一般MTR 10.1~ 30 HP,1444.57
Y6N10M0003D0,一般MTR 10.1~ 30 HP,722.29
Y6N10M0003E0,一般MTR 10.1~ 30 HP,1575.89
Y6N10M0003F0,一般MTR 10.1~ 30 HP,787.95
Y6N10M0003G0,一般MTR 10.1~ 30 HP,1707.21
Y6N10M0003H0,一般MTR 10.1~ 30 HP,853.61
Y6N10M0004A0,污水MTR 2HP及以下,937.2
Y6N10M0004B0,污水MTR 2HP及以下,468.6
Y6N10M0004C0,污水MTR 2HP及以下,1030.92
Y6N10M0004D0,污水MTR 2HP及以下,515.46
Y6N10M0004E0,污水MTR 2HP及以下,1124.64
Y6N10M0004F0,污水MTR 2HP及以下,562.32
Y6N10M0004G0,污水MTR 2HP及以下,1218.36
Y6N10M0004H0,污水MTR 2HP及以下,609.18
Y6N10M0005A0,污水MTR 2.1 ~ 5  HP,1313.25
Y6N10M0005B0,污水MTR 2.1 ~ 5  HP,656.62
Y6N10M0005C0,污水MTR 2.1 ~ 5  HP,1444.57
Y6N10M0005D0,污水MTR 2.1 ~ 5  HP,722.29
Y6N10M0005E0,污水MTR 2.1 ~ 5  HP,1575.89
Y6N10M0005F0,污水MTR 2.1 ~ 5  HP,787.95
Y6N10M0005G0,污水MTR 2.1 ~ 5  HP,1707.21
Y6N10M0005H0,污水MTR 2.1 ~ 5  HP,853.61
Y6N10M0006A0,污水MTR 5.1 ~ 10 HP,1874.41
Y6N10M0006B0,污水MTR 5.1 ~ 10 HP,937.2
Y6N10M0006C0,污水MTR 5.1 ~ 10 HP,2061.85
Y6N10M0006D0,污水MTR 5.1 ~ 10 HP,1030.92
Y6N10M0006E0,污水MTR 5.1 ~ 10 HP,2249.29
Y6N10M0006F0,污水MTR 5.1 ~ 10 HP,1124.64
Y6N10M0006G0,污水MTR 5.1 ~ 10 HP,2436.73
Y6N10M0006H0,污水MTR 5.1 ~ 10 HP,1218.36
Y6N10M0007A0,沈水MTR 2HP及以下,698.56
Y6N10M0007B0,沈水MTR 2HP及以下,349.27
Y6N10M0007C0,沈水MTR 2HP及以下,768.41
Y6N10M0007D0,沈水MTR 2HP及以下,384.2
Y6N10M0007E0,沈水MTR 2HP及以下,838.26
Y6N10M0007F0,沈水MTR 2HP及以下,419.14
Y6N10M0007G0,沈水MTR 2HP及以下,908.13
Y6N10M0007H0,沈水MTR 2HP及以下,454.06
Y6N10M0008A0,沈水MTR 2.1 ~ 5  HP,978.8
Y6N10M0008B0,沈水MTR 2.1 ~ 5  HP,489.4
Y6N10M0008C0,沈水MTR 2.1 ~ 5  HP,1076.68
Y6N10M0008D0,沈水MTR 2.1 ~ 5  HP,538.33
Y6N10M0008E0,沈水MTR 2.1 ~ 5  HP,1174.56
Y6N10M0008F0,沈水MTR 2.1 ~ 5  HP,587.28
Y6N10M0008G0,沈水MTR 2.1 ~ 5  HP,1272.44
Y6N10M0008H0,沈水MTR 2.1 ~ 5  HP,636.21
Y6N10M0009A0,沈水MTR 5.1 ~ 10 HP,1257.33
Y6N10M0009B0,沈水MTR 5.1 ~ 10 HP,628.67
Y6N10M0009C0,沈水MTR 5.1 ~ 10 HP,1383.07
Y6N10M0009D0,沈水MTR 5.1 ~ 10 HP,691.53
Y6N10M0009E0,沈水MTR 5.1 ~ 10 HP,1508.79
Y6N10M0009F0,沈水MTR 5.1 ~ 10 HP,754.4
Y6N10M0009G0,沈水MTR 5.1 ~ 10 HP,1634.53
Y6N10M0009H0,沈水MTR 5.1 ~ 10 HP,817.27
Y6N10M0010A0,一般MTR30.1 ~ 60 HP,1765.31
Y6N10M0010B0,一般MTR30.1 ~ 60 HP,882.66
Y6N10M0010C0,一般MTR30.1 ~ 60 HP,1941.84
Y6N10M0010D0,一般MTR30.1 ~ 60 HP,970.92
Y6N10M0010E0,一般MTR30.1 ~ 60 HP,2118.37
Y6N10M0010F0,一般MTR30.1 ~ 60 HP,1059.18
Y6N10M0010G0,一般MTR30.1 ~ 60 HP,2294.9
Y6N10M0010H0,一般MTR30.1 ~ 60 HP,1147.45
Y6N10M1001A0,"塑膠壁式抽排風機 16""及以下",613.67
Y6N10M1001B0,"塑膠壁式抽排風機 16""及以下",306.83
Y6N10M1002A0,"塑膠壁式抽排風機 18""~24""",1022.77
Y6N10M1002B0,"塑膠壁式抽排風機 18""~24""",511.39
Y6N10M1003A0,"鐵製壁式吸排風機 18""及以下",601.39
Y6N10M1003B0,"鐵製壁式吸排風機 18""及以下",300.7
Y6N10M1004A0,"鐵製壁式吸排風機 20 ~ 26""",768.78
Y6N10M1004B0,"鐵製壁式吸排風機 20 ~ 26""",384.39
Y6N10M1005A0,"鐵製壁式吸排風機 28""及以上",859.47
Y6N10M1005B0,"鐵製壁式吸排風機 28""及以上",429.74
Y6N10M1006A0,"吊扇 24""及以下",613.67
Y6N10M1006B0,"吊扇 24""及以下",306.83
Y6N10M1007A0,"吊扇 26""及以上",1022.77
Y6N10M1007B0,"吊扇 26""及以上",511.39
Y6N10M1008A0,屋頂式抽風機1HP及以下,767.08
Y6N10M1008B0,屋頂式抽風機1HP及以下,383.54
Y6N10M1009A0,屋頂式抽風機2 ~ 5HP,1537.57
Y6N10M1009B0,屋頂式抽風機2 ~ 5HP,768.78
Y6N10M1010A0,屋頂式抽風機7.0~15HP,2062.6
Y6N10M1010B0,屋頂式抽風機7.0~15HP,1031.29
Y6N10M1011A0,屋頂式抽風機20 ~30HP,3071.73
Y6N10M1011B0,屋頂式抽風機20 ~30HP,1535.86
Y6N10N0001A0,儀錶TUBING銅管 6mmΦ具 PVC被覆,143.19
Y6N10N0001B0,儀錶TUBING銅管 6mmΦ具 PVC被覆,71.59
Y6N10N0001C0,儀錶TUBING銅管 6mmΦ具 PVC被覆,157.5
Y6N10N0001D0,儀錶TUBING銅管 6mmΦ具 PVC被覆,78.75
Y6N10N0001E0,儀錶TUBING銅管 6mmΦ具 PVC被覆,171.82
Y6N10N0001F0,儀錶TUBING銅管 6mmΦ具 PVC被覆,85.91
Y6N10N0001G0,儀錶TUBING銅管 6mmΦ具 PVC被覆,186.14
Y6N10N0001H0,儀錶TUBING銅管 6mmΦ具 PVC被覆,93.07
Y6N10N0002A0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),184.1
Y6N10N0002B0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),92.05
Y6N10N0002C0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),202.51
Y6N10N0002D0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),101.26
Y6N10N0002E0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),220.92
Y6N10N0002F0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),110.46
Y6N10N0002G0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),239.33
Y6N10N0002H0,儀錶TUBING銅管12mmΦ具 PVC被覆 (含10mmΦ),119.67
Y6N10N0003A0,儀錶TUBING不鏽鋼管 6mmΦ,163.64
Y6N10N0003B0,儀錶TUBING不鏽鋼管 6mmΦ,81.82
Y6N10N0003C0,儀錶TUBING不鏽鋼管 6mmΦ,180.01
Y6N10N0003D0,儀錶TUBING不鏽鋼管 6mmΦ,90
Y6N10N0003E0,儀錶TUBING不鏽鋼管 6mmΦ,196.37
Y6N10N0003F0,儀錶TUBING不鏽鋼管 6mmΦ,98.19
Y6N10N0003G0,儀錶TUBING不鏽鋼管 6mmΦ,212.74
Y6N10N0003H0,儀錶TUBING不鏽鋼管 6mmΦ,106.37
Y6N10N0004A0,儀錶TUBING不鏽鋼管12mmΦ  (含10mmΦ),347.74
